molecularfunctionid,biologicalprocessid
MF00006495,BP00026004
MF00000607,BP00012449
MF00001751,BP00004579
MF00001001,BP00020977
MF00007405,BP00012422
MF00001754,BP00030434
MF00000026,BP00027212
MF00001743,BP00024674
MF00000507,BP00023266
MF00008666,BP00029594
MF00001222,BP00023599
MF00001789,BP00022820
MF00001019,BP00026368
MF00000858,BP00030263
MF00000703,BP00004856
MF00005078,BP00027447
MF00012198,BP00027276
MF00009630,BP00008400
MF00002281,BP00029801
MF00003506,BP00017055
MF00001294,BP00017911
MF00000408,BP00012340
MF00003734,BP00015844
MF00003515,BP00021342
MF00001394,BP00026682
MF00004591,BP00026790
MF00000617,BP00012198
MF00000445,BP00028544
MF00000573,BP00030194
MF00000447,BP00025505
MF00001740,BP00025226
MF00000584,BP00026943
MF00011966,BP00026794
MF00001213,BP00004705
MF00001733,BP00026054
MF00001274,BP00010474
MF00001400,BP00027952
MF00003251,BP00023463
MF00005034,BP00027577
MF00001196,BP00026352
MF00006522,BP00026278
MF00001223,BP00027010
MF00003871,BP00009062
MF00004651,BP00030440
MF00010351,BP00030447
MF00003510,BP00018504
MF00002926,BP00024328
MF00000451,BP00025624
MF00002883,BP00017551
MF00001448,BP00022627
MF00001491,BP00023581
MF00009125,BP00026140
